爱 ai4 "to love; to be fond of; to like; affection; to be inclined (to do sth); to tend to (happen)"
吃 chi1 "to eat; to consume; to eat at (a cafeteria etc); to eradicate; to destroy; to absorb; to suffer"
读 du2 "to read out; to read aloud; to read; to attend (school); to study (a subject in school); to pronounce"
对不起 dui4bu4qi3 "i'm sorry; excuse me; i beg your pardon; to let (sb) down; to disappoint"
工作 gong1zuo4 "to work; (of a machine) to operate; job; work; task"
喝 he1 "to drink"
回 hui2 "to circle; to go back; to turn around; to answer; to return; to revolve; hui ethnic group (chinese muslims); time; classifier for acts of a play; section or chapter (of a classic book); to curve; to return; to revolve"
叫 jiao4 "to shout; to call; to order; to ask; to be called; by (indicates agent in the passive mood)"
开 kai1 "to open; to start; to turn on; to boil; to write out (a prescription, check, invoice etc); to operate (a vehicle); carat (gold)"
看 kan4 "to see; to look at; to read; to watch; to visit; to call on; to consider; to regard as; to look after; to treat (an illness); to depend on; to feel (that); (after verb) to give it a try"
看见 kan4jian4 "to see; to catch sight of"
来 lai2 "to come; (used as a substitute for a more specific verb); for the past (amount of time); (prefix) the coming ...; (between two verbs) in order to; (after a round number) approximately"
没有 mei2you3 "haven't; hasn't; doesn't exist; to not have; to not be"
买 mai3 "to buy; to purchase"
请 qing3 "to ask; to invite; please (do sth); to treat (to a meal etc); to request"
去 qu4 "to go; to go to (a place); (of a time etc) last; just passed; to send; to remove; to get rid of; to reduce; to be apart from in space or time; to die (euphemism); to play (a part); (when used either before or after a verb) to go in order to do sth; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation)"
认识 ren4shi5 "to know; to recognize; to be familiar with; to get acquainted with sb; knowledge; understanding; awareness; cognition"
是 shi4 "to be (followed by substantives only); correct; right; true; (respectful acknowledgement of a command) very well; (adverb for emphatic assertion)"
睡觉 shui4jiao4 "to go to bed; to sleep"
说 shuo1 "to speak; to talk; to say; to explain; to comment; to scold; to tell off; (bound form) theory; doctrine"
听 ting1 "to listen to; to hear; to heed; to obey; classifier for canned beverages; to let be; (literary) to administer"
下雨 xia4yu3 "to rain"
写 xie3 "to write"
谢谢 xie4xie5 "to thank; thanks; thank you"
喜欢 xi3huan1
学习 xue2xi2 "to learn; to study"
有 you3 "to have; there is; (bound form) having; with; -ful; -ed"
再见 zai4jian4 "goodbye; see you again later"
住 zhu4 "to live; to dwell; to stay; to reside; to stop; (suffix indicating firmness, steadiness, or coming to a halt)"
做 zuo4 "to make; to produce; to write; to compose; to do; to engage in; to hold (a party etc); (of a person) to be (an intermediary, a good student etc); to become (husband and wife, friends etc); (of a thing) to serve as; to be used for; to assume (an air or manner)"
坐 zuo4 "to sit; to take a seat; to take (a bus, airplane etc); to bear fruit"
帮助 bang1zhu4 "assistance; aid; to help; to assist"
唱歌 chang4ge1 "to sing a song"
出 chu1 "to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; (used after a verb to indicate an outward direction or a positive result); classifier for dramas, plays, operas etc"
穿 chuan1 "to wear; to put on; to dress; to bore through; to pierce; to perforate; to penetrate; to pass through; to thread"
到 dao4 "to reach; to arrive; to leave for; to go to; to (a place); until (a time); up to (a point); (verb complement indicating arriving at a place or reaching a point); considerate; thoughtful; thorough"
等 deng3 "class; rank; grade; equal to; same as; to wait for; to await; et cetera; and so on; et al. (and other authors); after; as soon as; once"
懂 dong3 "to understand; to comprehend"
告诉 gao4su5 "to tell; to inform; to let know"
给 gei3 "to; for; for the benefit of; to give; to allow; to do sth (for sb); (sentence intensifier)"
介绍 jie4shao4 "to introduce (sb to sb); to give a presentation; to present (sb for a job etc); introduction"
进 jin4 "to go forward; to advance; to go in; to enter; to put in; to submit; to take in; to admit; (math.) base of a number system; classifier for sections in a building or residential compound"
觉得 jue2de5 "to think that ...; to feel that ...; to feel (uncomfortable etc)"
开始 kai1shi3 "to begin; beginning; to start; initial"
离 li2 "to leave; to part from; to be away from; (in giving distances) from; without (sth); independent of"
旅游 lü3you2
卖 mai4 "to sell; to betray; to spare no effort; to show off or flaunt"
跑步 pao3bu4 "to run; to jog; (military) to march at the double"
起床 qi3chuang2 "to get out of bed; to get up"
让 rang4 "to yield; to permit; to let sb do sth; to have sb do sth; to make sb (feel sad etc)"
上班 shang4ban1 "to go to work; to be on duty; to start work; to go to the office"
生病 sheng1bing4 "to fall ill"
说话 shuo1hua4 "to speak; to say; to talk; to gossip; to tell stories; talk; word"
送 song4 "to send; to deliver; to transmit; to give (as a present); to see (sb) off; to accompany; to go along with"
跳舞 tiao4wu3 "to dance"
完 wan2 "to finish; to be over; whole; complete; entire"
玩 wan2 "to play; to have fun; to trifle with; toy; sth used for amusement; to keep sth for entertainment"
晚上 wan3shang5 "evening; night; in the evening"
问 wen4 "to ask; to inquire"
笑 xiao4 "to laugh; to smile; to laugh at"
姓 xing4 "family name; surname; to be surnamed"
休息 xiu1xi5 "rest; to rest"
游泳 you2yong3 "swimming; to swim"
运动 yun4dong4 "to move; to exercise; sports; exercise; motion; movement; campaign"
找 zhao3 "to try to find; to look for; to call on sb; to find; to seek; to return; to give change"
知道 zhi1dao4 "to know; to become aware of"
准备 zhun3bei4 "preparation; to prepare; to intend; to be about to; reserve (fund)"
走 zou3 "to walk; to go; to run; to move (of vehicle); to visit; to leave; to go away; to die (euph.); from; through; to change (shape, form, meaning)"
搬 ban1 "to move (i.e. relocate oneself); to move (sth relatively heavy or bulky); to shift; to copy indiscriminately"
帮忙 bang1mang2 "to help; to lend a hand; to do a favor; to do a good turn"
变化 bian4hua4 "(intransitive) to change; to vary; change; variation"
表示 biao3shi4 "to express; to show; to say; to state; to indicate; to mean"
表演 biao3yan3 "play; show; performance; exhibition; to perform; to act; to demonstrate"
参加 can1jia1 "to participate; to take part; to join"
差 cha4 "different; wrong; mistaken; to fall short; to lack; not up to standard; inferior"
迟到 chi2dao4 "to arrive late"
出现 chu1xian4 "to appear; to arise; to emerge; to show up"
带 dai4 "band; belt; girdle; ribbon; tire; area; zone; region; to wear; to carry; to take along; to bear (i.e. to have); to lead; to bring; to look after; to raise"
担心 dan1xin1 "anxious; worried; uneasy; to worry; to be anxious"
打扫 da3sao3 "to clean; to sweep"
打算 da3suan4 "to plan; to intend; to calculate; plan; intention; calculation"
懂 dong3 "to understand; to comprehend"
锻炼 duan4lian4 "to toughen; to temper; to engage in physical exercise; to work out; (fig.) to develop one's skills; to train oneself"
发 fa1 "to send out; to show (one's feeling); to issue; to develop; to make a bundle of money; classifier for gunshots (rounds)"
放 fang4 "to put; to place; to release; to free; to let go; to let out; to set off (fireworks)"
放心 fang4xin1 "to feel relieved; to feel reassured; to be at ease"
发烧 fa1shao1 "to have a high temperature (from illness); to have a fever"
发现 fa1xian4 "to notice; to become aware of; to discover; to find; to detect; a discovery"
分 fen1 "to divide; to separate; to distribute; to allocate; to distinguish (good and bad); (bound form) branch of (an organization); fraction; one tenth (of certain units); unit of length equivalent to 0.33 cm; minute (unit of time); minute (angular measurement unit); a point (in sports or games); 0.01 yuan (unit of money)"
复习 fu4xi2 "to review; revision"
敢 gan3 "to dare; daring; (polite) may i venture"
感冒 gan3mao4 "to catch cold; (common) cold; (coll.) to be interested in (often used in the negative); can't stand"
刮风 gua1feng1 "to be windy"
关 guan1 "mountain pass; to close; to shut; to turn off; to confine; to lock (sb) up; to shut (sb in a room, a bird in a cage etc); to concern; to involve"
关心 guan1xin1 "to be concerned about; to care about"
过 guo4 "to cross; to go over; to pass (time); to celebrate (a holiday); to live; to get along; excessively; too-"
害怕 hai4pa4 "to be afraid; to be scared"
花 hua1 "flower; blossom; fancy pattern; florid; to spend (money, time); (coll.) lecherous; lustful; flower; blossom"
画 hua4 "to draw; to paint; picture"
还 huan2 "to pay back; to return"
换 huan4 "to exchange; to change (clothes etc); to substitute; to switch; to convert (currency)"
欢迎 huan1ying2 "to welcome; welcome"
回答 hui2da2 "to reply; to answer; reply; answer"
检查 jian3cha2 "inspection; to examine; to inspect"
讲 jiang3 "to speak; to explain; to negotiate; to emphasize; to be particular about; as far as sth is concerned; speech; lecture"
见面 jian4mian4 "to meet; to see each other"
教 jiao1 "to teach"
记得 ji4de5 "to remember"
接 jie1 "to receive; to answer (the phone); to meet or welcome sb; to connect; to catch; to join; to extend; to take one's turn on duty; to take over for sb"
借 jie4 "to lend; to borrow; by means of; to take (an opportunity)"
结婚 jie2hun1 "to marry; to get married"
解决 jie3jue2 "to solve; to resolve; to settle (a problem); to eliminate; to wipe out (an enemy, bandits etc)"
结束 jie2shu4 "termination; to finish; to end; to conclude; to close"
经过 jing1guo4 "to pass; to go through; process; course"
决定 jue2ding4 "to decide (to do something); to resolve; decision; certainly"
哭 ku1 "to cry; to weep"
练习 lian4xi2 "to practice; exercise; drill; practice"
离开 li2kai1 "to depart; to leave"
了解 liao3jie3 "to understand; to realize; to find out; to understand; to realize; to find out"
聊天 liao2tian1 "to chat; to gossip"
留学 liu2xue2 "to study abroad"
卖 mai4 "to sell; to betray; to spare no effort; to show off or flaunt"
满意 man3yi4 "satisfied; pleased; to one's satisfaction"
明白 ming2bai5 "clear; obvious; unequivocal; to understand; to realize"
拿 na2 "to hold; to seize; to catch; to apprehend; to take"
爬山 pa2shan1 "to climb a mountain; to mountaineer; hiking; mountaineering"
骑 qi2 "to sit astride; to ride (a horse, bike etc); classifier for saddle horses"
起床 qi3chuang2 "to get out of bed; to get up"
起飞 qi3fei1 "(of an aircraft) to take off"
起来 qi3lai2
请 qing3 "to ask; to invite; please (do sth); to treat (to a meal etc); to request"
请假 qing3jia4 "to request leave of absence"
认为 ren4wei2 "to believe; to think; to consider; to feel"
上网 shang4wang3 "to go online; to connect to the internet; (of a document etc) to be uploaded to the internet; (tennis, volleyball etc) to move in close to the net"
生气 sheng1qi4 "to get angry; to take offense; angry; vitality; liveliness"
使 shi3 "to make; to cause; to enable; to use; to employ; to send; to instruct sb to do sth; envoy; messenger"
试 shi4 "to test; to try; experiment; examination; test"
刷牙 shua1ya2 "to brush one's teeth"
疼 teng2 "(it) hurts; sore; to love dearly"
提高 ti2gao1 "to raise; to increase; to improve"
同意 tong2yi4 "to agree; to consent; to approve"
完成 wan2cheng2 "to complete; to accomplish"
忘记 wang4ji4 "to forget"
像 xiang4 "to resemble; to be like; to look as if; such as; appearance; image; portrait; image under a mapping (math.)"
相信 xiang1xin4 "to be convinced (that sth is true); to believe; to accept sth as true"
洗澡 xi3zao3 "to bathe; to take a shower"
选择 xuan3ze2 "to select; to pick; choice; option; alternative"
学习 xue2xi2 "to learn; to study"
需要 xu1yao4 "to need; to want; to demand; to require; needs"
要求 yao1qiu2 "to request; to require; requirement; to stake a claim; to ask; to demand"
应该 ying1gai1 "ought to; should; must"
以为 yi3wei2
用 yong4 "to use; to employ; to have to; to eat or drink; expense or outlay; usefulness; hence; therefore"
愿意 yuan4yi4 "to wish; to want; ready; willing (to do sth)"
遇到 yu4dao4 "to meet; to run into; to come across"
再见 zai4jian4 "goodbye; see you again later"
站 zhan4 "station; to stand; to halt; to stop; branch of a company or organization; website"
长 zhang3 "chief; head; elder; to grow; to develop; to increase; to enhance"
照顾 zhao4gu5 "to take care of; to show consideration; to attend to; to look after"
祝 zhu4 "to wish; to express good wishes; to pray"
注意 zhu4yi4 "to take note of; to pay attention to"
安排 an1pai2 "to arrange; to plan; to set up; arrangements; plans"
抱 bao4 "to hold; to carry (in one's arms); to hug; to embrace; to surround; to cherish; (coll.) (of clothes) to fit nicely"
保护 bao3hu4 "to protect; to defend; to safeguard; protection"
报名 bao4ming2 "to sign up; to enter one's name; to apply; to register; to enroll; to enlist"
抱歉 bao4qian4 "to be sorry; to feel apologetic"
保证 bao3zheng4 "guarantee; to guarantee; to ensure; to safeguard; to pledge"
表示 biao3shi4 "to express; to show; to say; to state; to indicate; to mean"
表演 biao3yan3 "play; show; performance; exhibition; to perform; to act; to demonstrate"
表扬 biao3yang2 "to praise; to commend"
比如 bi3ru2 "for example; for instance; such as"
毕业 bi4ye4 "graduation; to graduate; to finish school"
擦 ca1 "to rub; to scratch; to towel; to wipe with a towel; to apply (lipstick, lotion etc); to touch; to brush (past); to shred (vegetables etc)"
猜 cai1 "to guess"
参观 can1guan1 "to look around; to tour; to visit"
尝 chang2 "to taste; to try (food); to experience; (literary) ever; once; to taste"
超过 chao1guo4 "to surpass; to exceed; to outstrip"
成功 cheng2gong1 "success; to succeed"
成为 cheng2wei2 "to become; to turn into"
乘坐 cheng2zuo4 "to ride (in a vehicle)"
吃惊 chi1jing1 "to be startled; to be shocked; to be amazed"
抽烟 chou1yan1 "to smoke (a cigarette, tobacco)"
传真 chuan2zhen1 "fax; facsimile"
出差 chu1chai1 "to go on an official or business trip"
出发 chu1fa1 "to set off; to start (on a journey)"
出生 chu1sheng1 "to be born"
出现 chu1xian4 "to appear; to arise; to emerge; to show up"
存 cun2 "to exist; to deposit; to store; to keep; to survive"
打扮 da3ban5 "to decorate; to dress; to make up; to adorn; manner of dressing; style of dress"
戴 dai4 "to put on or wear (glasses, hat, gloves etc); to respect; to bear; to support"
倒 dao3 "to fall; to collapse; to lie horizontally; to fail; to go bankrupt; to overthrow; to change (trains or buses); to move around; to resell at a profit"
道歉 dao4qian4 "to apologize"
打扰 da3rao3 "to disturb; to bother; to trouble"
打印 da3yin4 "to affix a seal; to stamp; to print out (with a printer)"
打折 da3zhe2 "to give a discount"
打针 da3zhen1 "to give or have an injection"
掉 diao4 "to fall; to drop; to lag behind; to lose; to go missing; to reduce; fall (in prices); to lose (value, weight etc); to wag; to swing; to turn; to change; to exchange; to swap; to show off; to shed (hair); (used after certain verbs to express completion, fulfillment, removal etc)"
调查 diao4cha2 "investigation; inquiry; to investigate; to survey; survey; (opinion) poll"
丢 diu1 "to lose; to put aside; to throw"
堵车 du3che1 "traffic jam; (of traffic) to get congested"
对话 dui4hua4 "to talk (with sb); dialogue; conversation"
反对 fan3dui4 "to fight against; to oppose; to be opposed to; opposition"
放弃 fang4qi4 "to renounce; to abandon; to give up"
放松 fang4song1 "to relax; to slacken; to loosen"
翻译 fan1yi4 "to translate; to interpret; translator; interpreter; translation; interpretation"
发生 fa1sheng1 "to happen; to occur; to take place; to break out"
发展 fa1zhan3 "development; growth; to develop; to grow; to expand"
丰富 feng1fu4 "to enrich; rich; plentiful; abundant"
符合 fu2he2 "in keeping with; in accordance with; tallying with; in line with; to agree with; to accord with; to conform to; to correspond with; to manage; to handle"
付款 fu4kuan3 "to pay a sum of money; payment"
复印 fu4yin4 "to photocopy; to duplicate a document"
负责 fu4ze2 "to be in charge of; to take responsibility for; to be to blame; conscientious"
改变 gai3bian4 "to change; to alter; to transform"
赶 gan3 "to overtake; to catch up with; to hurry; to rush; to try to catch (the bus etc); to drive (cattle etc) forward; to drive (sb) away; to avail oneself of (an opportunity); until; by (a certain time)"
敢 gan3 "to dare; daring; (polite) may i venture"
干 gan4 "tree trunk; main part of sth; to manage; to work; to do; capable; cadre; to kill (slang); to fuck (vulgar); (coll.) pissed off; annoyed"
干杯 gan1bei1 "to drink a toast; lit. dry cup"
感动 gan3dong4 "to move (sb); to touch (sb emotionally); moving"
感谢 gan3xie4 "(express) thanks; gratitude; grateful; thankful; thanks"
够 gou4 "enough (sufficient); enough (too much); (coll.) (before adj.) really; (coll.) to reach by stretching out"
购物 gou4wu4 shopping
挂 gua4 "to hang or suspend (from a hook etc); to hang up (the phone); (of a line) to be dead; to be worried or concerned; to make a phone call (dialect); to register or record; classifier for sets or clusters of objects; (slang) to kill; to die; to be finished; to fail (an exam)"
逛 guang4 "to stroll; to visit"
广播 guang3bo1 "broadcast; broadcasting; to broadcast; (formal) to propagate; to publicize"
管理 guan3li3 "to supervise; to manage; to administer; management; administration"
规定 gui1ding4 "to stipulate; to specify; to prescribe; to fix (a price); to set (a quota); regulations; rules; provisions; stipulations"
估计 gu1ji4 "to estimate; to reckon; (coll.) to suppose"
鼓励 gu3li4 "to encourage"
害羞 hai4xiu1 "shy; embarrassed; bashful"
合格 he2ge2 "to meet the standard required; qualified; eligible (voter etc)"
后悔 hou4hui3 "to regret; to feel remorse"
怀疑 huai2yi2 "to doubt (sth); to be skeptical of; to have one's doubts; to harbor suspicions; to suspect that"
回忆 hui2yi4 "to recall; memories"
获得 huo4de2 "to obtain; to receive; to get"
寄 ji4 "to send; to mail; to entrust; to depend on; to attach oneself to; to live (in a house); to lodge; foster (son etc)"
加班 jia1ban1 "to work overtime"
坚持 jian1chi2 "to persevere with; to persist in; to insist on"
减肥 jian3fei2 "to lose weight"
降低 jiang4di1 "to reduce; to lower; to bring down"
降落 jiang4luo4 "to descend; to land"
减少 jian3shao3 "to lessen; to decrease; to reduce; to lower"
建议 jian4yi4 "to propose; to suggest; to recommend; proposal; suggestion; recommendation"
交 jiao1 "to hand over; to deliver; to pay (money); to turn over; to make friends; to intersect (lines)"
交流 jiao1liu2 "to exchange; exchange; communication; interaction; to have social contact (with sb)"
教育 jiao4yu4 "to educate; to teach; education"
解释 jie3shi4 "explanation; to explain; to interpret; to resolve"
接受 jie1shou4 "to accept; to receive"
节约 jie2yue1 "to economize; to conserve (resources); economy; frugal"
计划 ji4hua4 "plan; project; program; to plan; to map out"
积累 ji1lei3 "to accumulate; accumulation; cumulative; cumulatively"
经历 jing1li4 "experience; to experience; to go through"
竞争 jing4zheng1 "to compete; competition"
镜子 jing4zi5 mirror
进行 jin4xing2 "to advance; to conduct; underway; in progress; to do; to carry out; to carry on; to execute"
禁止 jin4zhi3 "to prohibit; to forbid; to ban"
继续 ji4xu4 "to continue; to proceed with; to go on with"
举 ju3 "to lift; to hold up; to cite; to enumerate; to act; to raise; to choose; to elect; act; move; deed"
举办 ju3ban4 "to conduct; to hold"
